device_id,timestamp,lat,lon,ang,distance_m,speed,rpm,fuel_consumption,engine_temperature,Maintenance
veh_1,2025-12-08T21:33:40.752977+00:00,-75.59291914822884,6.244177361082873,317.14434462996286,0.0,0.0,0,0.6,70.0,0
veh_2,2025-12-08T21:33:40.752977+00:00,-75.58687320701064,6.282547626250227,241.04295472608194,0.0,0.0,0,0.6,70.0,0
veh_3,2025-12-08T21:33:40.752977+00:00,-75.57453350800795,6.282289876899903,263.0435367348433,0.0,0.0,0,0.6,70.0,0
veh_4,2025-12-08T21:33:40.752977+00:00,-75.5589264099068,6.273630856399151,98.72587754820505,0.0,0.0,0,0.6,70.0,0
veh_5,2025-12-08T21:33:40.752977+00:00,-75.57227658341873,6.281975620385808,199.32727177474268,0.0,0.0,0,0.6,70.0,0
veh_6,2025-12-08T21:33:40.752977+00:00,-75.59726310090856,6.27841758227896,218.09760830773018,0.0,0.0,0,0.6,70.0,0
veh_7,2025-12-08T21:33:40.752977+00:00,-75.59473179883497,6.244589935349005,317.65571361395513,0.0,0.0,0,0.6,70.0,0
veh_8,2025-12-08T21:33:40.752977+00:00,-75.5607269447322,6.2379477207095935,41.21218424918655,0.0,0.0,0,0.6,70.0,0
veh_9,2025-12-08T21:33:40.761019+00:00,-75.55811661378215,6.252230978989015,212.9659215124403,0.0,0.0,0,0.6,70.0,0
veh_10,2025-12-08T21:33:40.761019+00:00,-75.57904206656731,6.282316412095941,103.78311210532584,0.0,0.0,0,0.6,70.0,0
veh_11,2025-12-08T21:33:40.763124+00:00,-75.6022821404591,6.2613507513022055,336.3432538551305,0.0,0.0,0,0.6,70.0,0
veh_12,2025-12-08T21:33:40.763124+00:00,-75.55683418498663,6.28190461490823,182.35883853648414,0.0,0.0,0,0.6,70.0,0
veh_13,2025-12-08T21:33:40.763124+00:00,-75.5550105049136,6.267931815452272,189.7345738036253,0.0,0.0,0,0.6,70.0,0
veh_14,2025-12-08T21:33:40.763124+00:00,-75.56007504619637,6.262572063994356,280.3181708962624,0.0,0.0,0,0.6,70.0,0
veh_17,2025-12-08T21:33:40.763124+00:00,-75.56108398535041,6.2607492393539435,198.84403510065474,0.0,0.0,0,0.6,70.0,0
veh_18,2025-12-08T21:33:40.769767+00:00,-75.56216960404649,6.256182052584623,212.50883734424605,0.0,0.0,0,0.6,70.0,0
veh_19,2025-12-08T21:33:40.771309+00:00,-75.56197044998832,6.256490307771374,213.25184794606125,0.0,0.0,0,0.6,70.0,0
veh_20,2025-12-08T21:33:40.771309+00:00,-75.56250101833834,6.253330108428354,200.06278349891556,0.0,0.0,0,0.6,70.0,0
veh_1,2025-12-08T21:33:50.863462+00:00,-75.59347499426765,6.2441323338560855,204.48416594072958,97.57899289408326,18.73,1123,2.08,79.36,0
